"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.117","192.168.0.109","TCP","264","49924  >  3000 [PSH, ACK] Seq=1 Ack=1 Win=1833 Len=210 [TCP segment of a reassembled PDU]"
"2","0.000259963","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"3","0.001718119","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"4","5.001213728","192.168.0.117","192.168.0.109","TCP","264","49924  >  3000 [PSH, ACK] Seq=233 Ack=240 Win=2130 Len=210 [TCP segment of a reassembled PDU]"
"5","5.001477799","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"6","5.003712594","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"7","10.002013214","192.168.0.117","192.168.0.109","TCP","264","49924  >  3000 [PSH, ACK] Seq=465 Ack=479 Win=1891 Len=210 [TCP segment of a reassembled PDU]"
"8","10.002422485","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"9","10.004754474","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"10","15.005539094","192.168.0.117","192.168.0.109","TCP","264","49924  >  3000 [PSH, ACK] Seq=697 Ack=718 Win=1652 Len=210 [TCP segment of a reassembled PDU]"
"11","15.006310315","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"12","15.007525606","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"13","20.004255403","192.168.0.117","192.168.0.109","TCP","264","49924  >  3000 [PSH, ACK] Seq=929 Ack=957 Win=1949 Len=210 [TCP segment of a reassembled PDU]"
"14","20.004687764","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"15","20.005102746","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"16","25.008019365","192.168.0.117","192.168.0.109","TCP","264","49924  >  3000 [PSH, ACK] Seq=1161 Ack=1196 Win=1710 Len=210 [TCP segment of a reassembled PDU]"
"17","25.008278811","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"18","30.013905584","192.168.0.117","192.168.0.109","TCP","264","55981  >  3000 [PSH, ACK] Seq=1 Ack=1 Win=2144 Len=210 [TCP segment of a reassembled PDU]"
"19","30.014506637","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"20","30.015515909","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"21","35.007229607","192.168.0.117","192.168.0.109","TCP","264","55981  >  3000 [PSH, ACK] Seq=233 Ack=240 Win=1905 Len=210 [TCP segment of a reassembled PDU]"
"22","35.007850068","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"23","35.009586824","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"24","40.008091463","192.168.0.117","192.168.0.109","TCP","264","55981  >  3000 [PSH, ACK] Seq=465 Ack=479 Win=1666 Len=210 [TCP segment of a reassembled PDU]"
"25","40.008611683","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"26","40.009419373","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"27","45.010099279","192.168.0.117","192.168.0.109","TCP","264","55981  >  3000 [PSH, ACK] Seq=697 Ack=718 Win=1963 Len=210 [TCP segment of a reassembled PDU]"
"28","45.011987628","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"29","45.012827469","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"30","50.010114760","192.168.0.117","192.168.0.109","TCP","264","55981  >  3000 [PSH, ACK] Seq=929 Ack=957 Win=1724 Len=210 [TCP segment of a reassembled PDU]"
"31","50.010386855","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"32","50.012602183","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
"33","55.011108732","192.168.0.117","192.168.0.109","TCP","264","55981  >  3000 [PSH, ACK] Seq=1161 Ack=1196 Win=2021 Len=210 [TCP segment of a reassembled PDU]"
"34","55.012384805","192.168.0.117","192.168.0.109","HTTP","76","POST /sensor/ HTTP/1.1  (application/json)"
"35","55.013455008","192.168.0.109","192.168.0.117","HTTP","293","HTTP/1.1 201 Created  (text/plain)"
